Name;Position;Age;Height_i;Weight;Salary;Points;Rebounds;Assists
Domantas Saboni;PF;25;6.11;240;19800000.0;;;
JaKarr Sampson;SF;28;6.7;214;;4.6;2.7;0.1
Cassius Stanley;SG;22;6.5;190;;1.5;0.8;0.0
Edmond Sumner;PG;25;6.4;196;2320000.0;7.5;1.8;0.9
Myles Turner;C;25;6.11;250;18000000.0;12.6;6.5;1.0
T.J. Warren;SF;28;6.8;220;12940000.0;15.5;3.5;1.3
Grayson Allen;SG;25;6.4;198;4054695.0;10.6;3.2;2.2
Giannis Antetokounmpo;PF;26;6.11;242;39344970.0;28.1;11.0;5.9
Thanasis Antetokounmpo;SF;29;6.6;219;1669178.0;2.9;2.2;0.8
Elijah Bryant;SG;26;6.5;210;1517981.0;16.0;6.0;3.0
Pat Connaughton;SG;28;6.5;209;5333334.0;6.8;4.8;1.2
Donte DiVincenzo;SG;24;6.4;203;4675830.0;10.4;5.8;3.1
Mamadi Diakite;PF;24;6.9;228;1517981.0;3.1;2.4;0.6
George Hill;G;35;6.4;188;4000000.0;8.7;2.0;2.4
Jrue Holiday;PG;31;6.3;205;32413333.0;17.7;4.5;6.1
Rodney Hood;SG;28;6.8;208;1669178.0;4.5;1.9;1.0
Justin Jackson;SF;26;6.8;220;;7.2;2.3;1.5
Rodions Kurucs;SF;23;6.9;228;;1.5;1.1;0.5
Brook Lopez;C;33;7.0;282;13302325.0;12.3;5.0;0.7
Sandro Mamukelashvili;C;22;6.11;240;;;;
Khris Middleton;SF;30;6.7;222;35500000.0;20.4;6.0;5.4
Jordan Nwora;SF;22;6.8;225;1517981.0;5.7;2.0;0.2
Semi Ojeleye;PF;26;6.6;240;1669178.0;4.6;2.6;0.7
Bobby Portis;C;26;6.1;250;;11.4;7.1;1.1
Jeff Teague;PG;33;6.3;195;;6.7;1.6;2.4
Axel Toupane;SG;29;6.7;210;;1.8;0.8;0.5
Bogdan Bogdanovic;SG;29;6.6;220;18000000.0;16.4;3.6;3.3
Clint Capela;C;27;6.1;240;18603448.0;15.2;14.3;0.8
John Collins;PF;23;6.9;235;23000000.0;17.6;7.4;1.2
Sharife Cooper;PG;20;6.1;180;;;;
Gorgui Dieng;C;31;6.1;252;4000000.0;6.8;3.7;1.3
Danilo Gallinari;PF;33;6.1;233;20475000.0;13.3;4.1;1.5
Brandon Goodwin;PG;25;6.0;180;;4.9;1.5;2.0
Solomon Hill;SF;30;6.6;226;1669178.0;4.5;3.0;1.1
Kevin Huerter;SG;23;6.7;190;4253357.0;11.9;3.3;3.5
De'Andre Hunter;SF;23;6.8;225;7775400.0;15.0;4.8;1.9
Jalen Johnson;SF;19;6.9;220;2659580.0;;;
Skylar Mays;SG;24;6.4;205;;3.8;1.1;0.9
Onyeka Okongwu;PF;20;6.8;235;6104280.0;4.6;3.3;0.4
Cam Reddish;SF;22;6.8;218;4670160.0;11.2;4.0;1.3
Lou Williams;SG;34;6.1;175;5000000.0;11.3;2.1;3.4
Delon Wright;SG;29;6.5;185;8526316.0;10.2;4.3;4.4
Trae Young;PG;22;6.1;180;8326471.0;25.3;3.9;9.4
LaMelo Ball;PG;20;6.6;180;8231760.0;15.7;5.9;6.1
Bismack Biyombo;C;29;6.8;255;;5.0;5.3;1.2
James Bouknight;SG;20;6.5;190;4154400.0;;;
Miles Bridges;SF;23;6.6;225;5421493.0;12.7;6.0;2.2
Vernon Carey Jr.;C;20;6.9;270;1517981.0;2.4;1.4;0.1
Nate Darling;SG;23;6.6;200;;1.3;0.1;0.1
Gordon Hayward;SF;31;6.7;225;29925000.0;19.6;5.9;4.1
Wes Iwundu;SF;26;6.6;195;1824003.0;2.4;2.2;0.4
Kai Jones;PF;20;6.11;218;2770560.0;;;
Scottie Lewis;SG;21;6.5;189;;;;
Caleb Martin;SF;25;6.5;205;;5.0;2.7;1.3
Cody Martin;SF;25;6.5;205;1782621.0;4.0;3.1;1.7
Jalen McDaniels;PF;23;6.9;205;1782621.0;7.4;3.6;1.1
Kelly Oubre Jr.;SG;25;6.7;203;12000000.0;15.4;6.0;1.3
Mason Plumlee;C;31;6.11;254;9248333.0;10.4;9.3;3.6
